Point 0: Lat: 50.1349909, Long: 19.4323581, MAE: 0.0, Group: 0, Time: 1716206011904
Point 1: Lat: 50.134988912923234, Long: 19.432360526568246, MAE: 0.0, Group: 0, Time: 1716206012900
Point 2: Lat: 50.13498717589907, Long: 19.432362648843707, MAE: 0.0, Group: 0, Time: 1716206013912
Point 3: Lat: 50.1349847244213, Long: 19.43236487178327, MAE: 0.0, Group: 0, Time: 1716206014905
Point 4: Lat: 50.134981434170015, Long: 19.432367733260808, MAE: 0.0, Group: 0, Time: 1716206015903
Point 5: Lat: 50.13497608430805, Long: 19.432372446247584, MAE: 0.0, Group: 0, Time: 1716206016894
Point 6: Lat: 50.13496911556421, Long: 19.432377900003864, MAE: 0.0, Group: 0, Time: 1716206017911
Point 7: Lat: 50.134961327199704, Long: 19.432381691150358, MAE: 0.0, Group: 0, Time: 1716206018928
Point 8: Lat: 50.134955660709714, Long: 19.43238490464754, MAE: 0.0, Group: 0, Time: 1716206019913
Point 9: Lat: 50.13494875673676, Long: 19.432389753468733, MAE: 0.0, Group: 0, Time: 1716206021170
Point 10: Lat: 50.13494039027126, Long: 19.432394393794823, MAE: 0.0, Group: 1, Time: 1716206022251
Point 11: Lat: 50.13493068563983, Long: 19.432399010252443, MAE: 0.0, Group: 1, Time: 1716206023251
Point 12: Lat: 50.134921100446974, Long: 19.432402610829975, MAE: 0.0, Group: 1, Time: 1716206023932
Point 13: Lat: 50.13490866398643, Long: 19.4324098841501, MAE: 0.0, Group: 1, Time: 1716206024989
Point 14: Lat: 50.13489537406782, Long: 19.432419760448056, MAE: 0.0, Group: 1, Time: 1716206026049
Point 15: Lat: 50.13488051319224, Long: 19.4324322173121, MAE: 0.0, Group: 1, Time: 1716206027241
Point 16: Lat: 50.13486572474851, Long: 19.432445229972576, MAE: 0.0, Group: 1, Time: 1716206028239
Point 17: Lat: 50.134853555905444, Long: 19.432455481777673, MAE: 0.0, Group: 1, Time: 1716206028908
Point 18: Lat: 50.134839214006405, Long: 19.432467002960333, MAE: 0.0, Group: 1, Time: 1716206029907
Point 19: Lat: 50.13482274715133, Long: 19.432479474875937, MAE: 0.0, Group: 1, Time: 1716206031078
Point 20: Lat: 50.134807354442685, Long: 19.43249075307354, MAE: 0.0, Group: 2, Time: 1716206032178
Point 21: Lat: 50.13479262696644, Long: 19.432500836856626, MAE: 0.0, Group: 2, Time: 1716206033319
Point 22: Lat: 50.13478460184656, Long: 19.432507951611118, MAE: 0.0, Group: 2, Time: 1716206033919
Point 23: Lat: 50.13477480463927, Long: 19.43251751431236, MAE: 0.0, Group: 2, Time: 1716206034958
Point 24: Lat: 50.13476277554938, Long: 19.432527697557234, MAE: 0.0, Group: 2, Time: 1716206036159
Point 25: Lat: 50.1347504272459, Long: 19.4325369084208, MAE: 0.0, Group: 2, Time: 1716206037259
Point 26: Lat: 50.134737970322895, Long: 19.432546118937417, MAE: 0.0, Group: 2, Time: 1716206038319
Point 27: Lat: 50.13472841442778, Long: 19.432553687511604, MAE: 0.0, Group: 2, Time: 1716206038943
Point 28: Lat: 50.13471693140715, Long: 19.432562571089846, MAE: 0.0, Group: 2, Time: 1716206039998
Point 29: Lat: 50.13470395747791, Long: 19.432573041607608, MAE: 0.0, Group: 2, Time: 1716206041158
Point 30: Lat: 50.13469026984641, Long: 19.432584493468493, MAE: 0.0, Group: 3, Time: 1716206042360
Point 31: Lat: 50.134681290643435, Long: 19.432592096384724, MAE: 0.0, Group: 3, Time: 1716206042905
Point 32: Lat: 50.134670199601494, Long: 19.432602604960287, MAE: 0.0, Group: 3, Time: 1716206043978
Point 33: Lat: 50.13465742169569, Long: 19.43261436693809, MAE: 0.0, Group: 3, Time: 1716206045159
Point 34: Lat: 50.13464540996846, Long: 19.432626115255886, MAE: 0.0, Group: 3, Time: 1716206046178
Point 35: Lat: 50.13463308292148, Long: 19.43263897739953, MAE: 0.0, Group: 3, Time: 1716206047297
Point 36: Lat: 50.134620888892634, Long: 19.432651219175273, MAE: 0.0, Group: 3, Time: 1716206048378
Point 37: Lat: 50.13461146434821, Long: 19.432660710783093, MAE: 0.0, Group: 3, Time: 1716206049118
Point 38: Lat: 50.13460181865997, Long: 19.432671525385572, MAE: 0.0, Group: 3, Time: 1716206050138
Point 39: Lat: 50.134594233535395, Long: 19.4326813864882, MAE: 0.0, Group: 3, Time: 1716206051017
Point 40: Lat: 50.13458675978987, Long: 19.432693002925276, MAE: 0.0, Group: 4, Time: 1716206052037
Point 41: Lat: 50.13458077469781, Long: 19.43270825193314, MAE: 0.0, Group: 4, Time: 1716206053067
Point 42: Lat: 50.13457719005088, Long: 19.432730853914432, MAE: 0.0, Group: 4, Time: 1716206054357
Point 43: Lat: 50.13457781507527, Long: 19.43274692512097, MAE: 0.0, Group: 4, Time: 1716206054937
Point 44: Lat: 50.13458288074779, Long: 19.43277037368404, MAE: 0.0, Group: 4, Time: 1716206056088
Point 45: Lat: 50.13458935006546, Long: 19.432793432054645, MAE: 0.0, Group: 4, Time: 1716206057241
Point 46: Lat: 50.13459576616207, Long: 19.432814756716837, MAE: 0.0, Group: 4, Time: 1716206058398
Point 47: Lat: 50.134599072535416, Long: 19.43282630372966, MAE: 0.0, Group: 4, Time: 1716206058923
Point 48: Lat: 50.1346041110416, Long: 19.432844307328807, MAE: 0.0, Group: 4, Time: 1716206060098
Point 49: Lat: 50.13460929705124, Long: 19.43286474682511, MAE: 0.0, Group: 4, Time: 1716206061359
Point 50: Lat: 50.134611979905955, Long: 19.432877448374533, MAE: 0.0, Group: 5, Time: 1716206061999
Point 51: Lat: 50.13461579613825, Long: 19.432894528823677, MAE: 0.0, Group: 5, Time: 1716206063157
Point 52: Lat: 50.13461999371531, Long: 19.4329118838973, MAE: 0.0, Group: 5, Time: 1716206064277
Point 53: Lat: 50.13462402971995, Long: 19.43292949615892, MAE: 0.0, Group: 5, Time: 1716206065380
Point 54: Lat: 50.1346268752362, Long: 19.43294322645139, MAE: 0.0, Group: 5, Time: 1716206066100
Point 55: Lat: 50.134630849198665, Long: 19.43296027055724, MAE: 0.0, Group: 5, Time: 1716206067282
Point 56: Lat: 50.134635009494126, Long: 19.432977547058048, MAE: 0.0, Group: 5, Time: 1716206068361
Point 57: Lat: 50.13463858482471, Long: 19.432994433229595, MAE: 0.0, Group: 5, Time: 1716206069438
Point 58: Lat: 50.13464049787067, Long: 19.43300767489357, MAE: 0.0, Group: 5, Time: 1716206070196
Point 59: Lat: 50.1346422489966, Long: 19.433021920770006, MAE: 0.0, Group: 5, Time: 1716206071201
Point 60: Lat: 50.13464364269565, Long: 19.43303509679712, MAE: 0.0, Group: 6, Time: 1716206072037
Point 61: Lat: 50.13464348492815, Long: 19.433051280093594, MAE: 0.0, Group: 6, Time: 1716206073176
Point 62: Lat: 50.134642125116095, Long: 19.433067472288833, MAE: 0.0, Group: 6, Time: 1716206074417
Point 63: Lat: 50.13463822970154, Long: 19.43308128545094, MAE: 0.0, Group: 6, Time: 1716206075437
Point 64: Lat: 50.134631960630074, Long: 19.43309268822186, MAE: 0.0, Group: 6, Time: 1716206076397
Point 65: Lat: 50.134626888805954, Long: 19.433099802023843, MAE: 0.0, Group: 6, Time: 1716206076891
Point 66: Lat: 50.134619434926165, Long: 19.433107936872656, MAE: 0.0, Group: 6, Time: 1716206077913
Point 67: Lat: 50.134609189408785, Long: 19.433117208908, MAE: 0.0, Group: 6, Time: 1716206079157
Point 68: Lat: 50.13459651337956, Long: 19.433128236748445, MAE: 0.0, Group: 6, Time: 1716206080577
Point 69: Lat: 50.13458819618834, Long: 19.433134154788753, MAE: 0.0, Group: 6, Time: 1716206081115
Point 70: Lat: 50.13457604878995, Long: 19.433139879360173, MAE: 0.0, Group: 7, Time: 1716206082217
Point 71: Lat: 50.13456238101689, Long: 19.433143775508423, MAE: 0.0, Group: 7, Time: 1716206083356
Point 72: Lat: 50.13454920923087, Long: 19.433145143353812, MAE: 0.0, Group: 7, Time: 1716206084397
Point 73: Lat: 50.134539750591614, Long: 19.433145168718827, MAE: 0.0, Group: 7, Time: 1716206084913
Point 74: Lat: 50.1345192363478, Long: 19.43314470466355, MAE: 0.0, Group: 7, Time: 1716206086396
Point 75: Lat: 50.134506956382864, Long: 19.433144537978052, MAE: 0.0, Group: 7, Time: 1716206086912
Point 76: Lat: 50.1344893055742, Long: 19.433146106691094, MAE: 0.0, Group: 7, Time: 1716206088017
Point 77: Lat: 50.134469987114805, Long: 19.433148781560078, MAE: 0.0, Group: 7, Time: 1716206089217
Point 78: Lat: 50.13445089681651, Long: 19.433153149832073, MAE: 0.0, Group: 7, Time: 1716206090435
Point 79: Lat: 50.134432804725826, Long: 19.433157835804007, MAE: 0.0, Group: 7, Time: 1716206091595
Point 80: Lat: 50.13442247048533, Long: 19.433160968273416, MAE: 0.0, Group: 8, Time: 1716206092158
Point 81: Lat: 50.13440771895166, Long: 19.433164512490148, MAE: 0.0, Group: 8, Time: 1716206093354
Point 82: Lat: 50.134398728596906, Long: 19.433166433551943, MAE: 0.0, Group: 8, Time: 1716206093954
Point 83: Lat: 50.13438204709149, Long: 19.433170005421278, MAE: 0.0, Group: 8, Time: 1716206095496
Point 84: Lat: 50.134369878562616, Long: 19.433174159682633, MAE: 0.0, Group: 8, Time: 1716206096593
Point 85: Lat: 50.134363027966295, Long: 19.433176379184246, MAE: 0.0, Group: 8, Time: 1716206097172
Point 86: Lat: 50.134350488198336, Long: 19.43317880038589, MAE: 0.0, Group: 8, Time: 1716206098476
Point 87: Lat: 50.134338019236516, Long: 19.433180875605057, MAE: 0.0, Group: 8, Time: 1716206099513
Point 88: Lat: 50.13432943056866, Long: 19.433182126119018, MAE: 0.0, Group: 8, Time: 1716206100173
Point 89: Lat: 50.1343165620482, Long: 19.433184595275144, MAE: 0.0, Group: 8, Time: 1716206101455
Point 90: Lat: 50.13430577814066, Long: 19.43318733506912, MAE: 0.0, Group: 9, Time: 1716206102492
Point 91: Lat: 50.134298485673995, Long: 19.43318911775712, MAE: 0.0, Group: 9, Time: 1716206103113
Point 92: Lat: 50.13429042747836, Long: 19.433191380911023, MAE: 0.0, Group: 9, Time: 1716206103922
Point 93: Lat: 50.13428035123368, Long: 19.4331967446034, MAE: 0.0, Group: 9, Time: 1716206105067
Point 94: Lat: 50.1342725501677, Long: 19.43320903048011, MAE: 0.0, Group: 9, Time: 1716206106395
Point 95: Lat: 50.13427108728128, Long: 19.43322309903022, MAE: 0.0, Group: 9, Time: 1716206107533
Point 96: Lat: 50.1342719008016, Long: 19.43323280269514, MAE: 0.0, Group: 9, Time: 1716206108113
Point 97: Lat: 50.13427429302776, Long: 19.433244008966007, MAE: 0.0, Group: 9, Time: 1716206108913
Point 98: Lat: 50.134278975750185, Long: 19.433258392623713, MAE: 0.0, Group: 9, Time: 1716206109929
Point 99: Lat: 50.134292463327796, Long: 19.433286542478047, MAE: 0.0, Group: 9, Time: 1716206111594
Point 100: Lat: 50.13430502686584, Long: 19.43331000694252, MAE: 0.0, Group: 10, Time: 1716206112693
Point 101: Lat: 50.13431324956358, Long: 19.433324575497416, MAE: 0.0, Group: 10, Time: 1716206113293
Point 102: Lat: 50.1343235564594, Long: 19.433342009420667, MAE: 0.0, Group: 10, Time: 1716206114392
Point 103: Lat: 50.13433285105895, Long: 19.433359207775098, MAE: 0.0, Group: 10, Time: 1716206115432
Point 104: Lat: 50.13434142180572, Long: 19.43337617278641, MAE: 0.0, Group: 10, Time: 1716206116552
Point 105: Lat: 50.13434699600676, Long: 19.433388064142207, MAE: 0.0, Group: 10, Time: 1716206117276
Point 106: Lat: 50.134351212530404, Long: 19.433398218864742, MAE: 0.0, Group: 10, Time: 1716206117919
Point 107: Lat: 50.13435919886544, Long: 19.433421068426018, MAE: 0.0, Group: 10, Time: 1716206119453
Point 108: Lat: 50.13436490024108, Long: 19.433439857667075, MAE: 0.0, Group: 10, Time: 1716206120531
Point 109: Lat: 50.134370989936876, Long: 19.433459760021204, MAE: 0.0, Group: 10, Time: 1716206121653
Point 110: Lat: 50.13437427566153, Long: 19.43347243190685, MAE: 0.0, Group: 11, Time: 1716206122191
Point 111: Lat: 50.13437979269365, Long: 19.433492466039315, MAE: 0.0, Group: 11, Time: 1716206123293
Point 112: Lat: 50.13438731325246, Long: 19.433518790919347, MAE: 0.0, Group: 11, Time: 1716206124411
Point 113: Lat: 50.13439247718374, Long: 19.433538950125325, MAE: 0.0, Group: 11, Time: 1716206125513
Point 114: Lat: 50.13439830392901, Long: 19.43355894047822, MAE: 0.0, Group: 11, Time: 1716206126572
Point 115: Lat: 50.13440535263781, Long: 19.433578398980494, MAE: 0.0, Group: 11, Time: 1716206127632
Point 116: Lat: 50.13440847249691, Long: 19.43358664959755, MAE: 0.0, Group: 11, Time: 1716206127917
Point 117: Lat: 50.13441670746093, Long: 19.433608117682244, MAE: 0.0, Group: 11, Time: 1716206129292
