Point 0: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206011904
Point 1: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206012900
Point 2: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206013912
Point 3: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206014905
Point 4: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206015903
Point 5: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206016894
Point 6: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206017911
Point 7: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206018928
Point 8: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206019913
Point 9: Lat: 50.134976192693514, Long: 19.43237196713607, MAE: 6.281598295849733E-4, Group: 0, Time: 1716206021170
Point 10: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206022251
Point 11: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206023251
Point 12: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206023932
Point 13: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206024989
Point 14: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206026049
Point 15: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206027241
Point 16: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206028239
Point 17: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206028908
Point 18: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206029907
Point 19: Lat: 50.134834000946356, Long: 19.432469298983314, MAE: 69.56730329992968, Group: 1, Time: 1716206031078
Point 20: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206032178
Point 21: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206033319
Point 22: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206033919
Point 23: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206034958
Point 24: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206036159
Point 25: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206037259
Point 26: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206038319
Point 27: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206038943
Point 28: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206039998
Point 29: Lat: 50.13475112652206, Long: 19.432536054302474, MAE: 69.56728718082454, Group: 2, Time: 1716206041158
