Point 0: Lat: 50.13499769995035, Long: 19.432311899997202, MAE: 5.895999475491465E-4, Group: 0, Time: 1718126297625
Point 1: Lat: 50.13499770004965, Long: 19.432311900002798, MAE: 5.896000524501233E-4, Group: 0, Time: 1718126299620
Point 2: Lat: 50.1349667079282, Long: 19.43233069250479, MAE: 69.56729740043299, Group: 1, Time: 1718126302337
Point 3: Lat: 50.13496670541112, Long: 19.4323306948813, MAE: 69.56729740029242, Group: 1, Time: 1718126303917
Point 4: Lat: 50.134966693083015, Long: 19.432330706196804, MAE: 69.56729739927982, Group: 1, Time: 1718126306075
Point 5: Lat: 50.13485698262647, Long: 19.43242806894674, MAE: 69.56728505157321, Group: 2, Time: 1718126308235
Point 6: Lat: 50.1348569764058, Long: 19.432428073908575, MAE: 69.56728505031438, Group: 2, Time: 1718126310374
Point 7: Lat: 50.134856973003586, Long: 19.432428076664895, MAE: 69.56728504966848, Group: 2, Time: 1718126312035
Point 8: Lat: 50.13485696724413, Long: 19.4324280813841, MAE: 69.56728504862824, Group: 2, Time: 1718126313862
Point 9: Lat: 50.13476311312943, Long: 19.432505313370747, MAE: 69.56726842650018, Group: 3, Time: 1718126316619
Point 10: Lat: 50.13476310221254, Long: 19.432505323129767, MAE: 69.5672684253423, Group: 3, Time: 1718126318733
Point 11: Lat: 50.134763097367504, Long: 19.43250532746413, MAE: 69.56726842483164, Group: 3, Time: 1718126320638
Point 12: Lat: 50.134763086753566, Long: 19.43250533727102, MAE: 69.56726842402459, Group: 3, Time: 1718126322638
Point 13: Lat: 50.13468033584101, Long: 19.432576497695916, MAE: 69.56725683353693, Group: 4, Time: 1718126324832
Point 14: Lat: 50.134680332886276, Long: 19.43257650037226, MAE: 69.56725683325854, Group: 4, Time: 1718126327033
Point 15: Lat: 50.13468033057439, Long: 19.43257650238387, MAE: 69.56725683295826, Group: 4, Time: 1718126328691
Point 16: Lat: 50.13462990008834, Long: 19.432625599912736, MAE: 69.56725550000108, Group: 5, Time: 1718126331073
Point 17: Lat: 50.13462989991165, Long: 19.432625600087267, MAE: 69.56725549999892, Group: 5, Time: 1718126332711
Point 18: Lat: 50.13458373361337, Long: 19.432685932528884, MAE: 69.56726966614225, Group: 6, Time: 1718126335111
Point 19: Lat: 50.134583733200714, Long: 19.432685933615314, MAE: 69.56726966681603, Group: 6, Time: 1718126336871
Point 20: Lat: 50.13458373299983, Long: 19.43268593406257, MAE: 69.56726966706239, Group: 6, Time: 1718126338957
Point 21: Lat: 50.13458169998701, Long: 19.432790699919853, MAE: 69.56737239990686, Group: 7, Time: 1718126341053
Point 22: Lat: 50.134581699999416, Long: 19.432790699996144, MAE: 69.56737239999556, Group: 7, Time: 1718126342771
Point 23: Lat: 50.134581700012646, Long: 19.43279070007587, MAE: 69.56737240008852, Group: 7, Time: 1718126344990
Point 24: Lat: 50.134598299998416, Long: 19.432885649991164, MAE: 69.56748394998958, Group: 8, Time: 1718126347212
Point 25: Lat: 50.134598300001585, Long: 19.432885650008835, MAE: 69.56748395001043, Group: 8, Time: 1718126349031
