Point 0: Lat: 50.13509, Long: 19.432116774999997, MAE: 4.867749999952764E-4, Group: 0, Time: 1719850516651
Point 1: Lat: 50.13509, Long: 19.432116774999997, MAE: 4.867749999952764E-4, Group: 0, Time: 1719850518007
Point 2: Lat: 50.13509, Long: 19.432116774999997, MAE: 4.867749999952764E-4, Group: 0, Time: 1719850518653
Point 3: Lat: 50.13509, Long: 19.432116774999997, MAE: 4.867749999952764E-4, Group: 0, Time: 1719850520682
Point 4: Lat: 50.135036075, Long: 19.4318734, MAE: 69.566909475, Group: 1, Time: 1719850522350
Point 5: Lat: 50.135036075, Long: 19.4318734, MAE: 69.566909475, Group: 1, Time: 1719850523378
Point 6: Lat: 50.135036075, Long: 19.4318734, MAE: 69.566909475, Group: 1, Time: 1719850525374
Point 7: Lat: 50.135036075, Long: 19.4318734, MAE: 69.566909475, Group: 1, Time: 1719850526380
Point 8: Lat: 50.134954549999996, Long: 19.4315231, MAE: 69.56647765, Group: 2, Time: 1719850528378
Point 9: Lat: 50.134954549999996, Long: 19.4315231, MAE: 69.56647765, Group: 2, Time: 1719850529386
Point 10: Lat: 50.134954549999996, Long: 19.4315231, MAE: 69.56647765, Group: 2, Time: 1719850531369
Point 11: Lat: 50.134954549999996, Long: 19.4315231, MAE: 69.56647765, Group: 2, Time: 1719850532381
Point 12: Lat: 50.134879575, Long: 19.431192, MAE: 69.566071575, Group: 3, Time: 1719850534380
Point 13: Lat: 50.134879575, Long: 19.431192, MAE: 69.566071575, Group: 3, Time: 1719850535388
Point 14: Lat: 50.134879575, Long: 19.431192, MAE: 69.566071575, Group: 3, Time: 1719850537386
Point 15: Lat: 50.134879575, Long: 19.431192, MAE: 69.566071575, Group: 3, Time: 1719850538386
Point 16: Lat: 50.134798575000005, Long: 19.430863625, MAE: 69.5656622, Group: 4, Time: 1719850540374
Point 17: Lat: 50.134798575000005, Long: 19.430863625, MAE: 69.5656622, Group: 4, Time: 1719850541385
Point 18: Lat: 50.134798575000005, Long: 19.430863625, MAE: 69.5656622, Group: 4, Time: 1719850543392
Point 19: Lat: 50.134798575000005, Long: 19.430863625, MAE: 69.5656622, Group: 4, Time: 1719850544378
Point 20: Lat: 50.13471473333334, Long: 19.43050026666667, MAE: 69.56521500000001, Group: 5, Time: 1719850546386
Point 21: Lat: 50.13471473333334, Long: 19.43050026666667, MAE: 69.56521500000001, Group: 5, Time: 1719850547391
Point 22: Lat: 50.13471473333334, Long: 19.43050026666667, MAE: 69.56521500000001, Group: 5, Time: 1719850554377
Point 23: Lat: 50.1344663, Long: 19.4294539, MAE: 69.5639202, Group: 6, Time: 1719850565381
Point 24: Lat: 50.1344663, Long: 19.4294539, MAE: 69.5639202, Group: 6, Time: 1719850567384
Point 25: Lat: 50.1344663, Long: 19.4294539, MAE: 69.5639202, Group: 6, Time: 1719850568391
Point 26: Lat: 50.1344663, Long: 19.4294539, MAE: 69.5639202, Group: 6, Time: 1719850570382
Point 27: Lat: 50.1343747, Long: 19.429098325000002, MAE: 69.56347302500001, Group: 7, Time: 1719850571399
Point 28: Lat: 50.1343747, Long: 19.429098325000002, MAE: 69.56347302500001, Group: 7, Time: 1719850573375
Point 29: Lat: 50.1343747, Long: 19.429098325000002, MAE: 69.56347302500001, Group: 7, Time: 1719850574389
Point 30: Lat: 50.1343747, Long: 19.429098325000002, MAE: 69.56347302500001, Group: 7, Time: 1719850576382
Point 31: Lat: 50.134282575, Long: 19.428750375, MAE: 69.56303295000001, Group: 8, Time: 1719850577376
Point 32: Lat: 50.134282575, Long: 19.428750375, MAE: 69.56303295000001, Group: 8, Time: 1719850579383
Point 33: Lat: 50.134282575, Long: 19.428750375, MAE: 69.56303295000001, Group: 8, Time: 1719850580384
Point 34: Lat: 50.134282575, Long: 19.428750375, MAE: 69.56303295000001, Group: 8, Time: 1719850582390
Point 35: Lat: 50.134157925, Long: 19.428593624999998, MAE: 69.56275155, Group: 9, Time: 1719850583389
Point 36: Lat: 50.134157925, Long: 19.428593624999998, MAE: 69.56275155, Group: 9, Time: 1719850585377
Point 37: Lat: 50.134157925, Long: 19.428593624999998, MAE: 69.56275155, Group: 9, Time: 1719850586393
Point 38: Lat: 50.134157925, Long: 19.428593624999998, MAE: 69.56275155, Group: 9, Time: 1719850588380
Point 39: Lat: 50.133950275000004, Long: 19.428750649999998, MAE: 69.562700925, Group: 10, Time: 1719850589387
Point 40: Lat: 50.133950275000004, Long: 19.428750649999998, MAE: 69.562700925, Group: 10, Time: 1719850591375
