Point 0: Lat: 50.1351118, Long: 19.432188, MAE: 0.0, Group: 0, Time: 1720022720052
Point 1: Lat: 50.13509573590858, Long: 19.432093669691227, MAE: 0.0, Group: 0, Time: 1720022723035
Point 2: Lat: 50.13507314567323, Long: 19.431999100029522, MAE: 0.0, Group: 0, Time: 1720022725031
Point 3: Lat: 50.1350564584935, Long: 19.431927414238505, MAE: 0.0, Group: 0, Time: 1720022726268
Point 4: Lat: 50.135028798383715, Long: 19.431817539084374, MAE: 0.0, Group: 0, Time: 1720022728249
Point 5: Lat: 50.13501357347635, Long: 19.43175311780456, MAE: 0.0, Group: 0, Time: 1720022729408
Point 6: Lat: 50.13499245684062, Long: 19.431665631044204, MAE: 0.0, Group: 1, Time: 1720022731037
Point 7: Lat: 50.134977908563854, Long: 19.431606125638094, MAE: 0.0, Group: 1, Time: 1720022732126
Point 8: Lat: 50.134950708576085, Long: 19.43149956978362, MAE: 0.0, Group: 1, Time: 1720022734268
Point 9: Lat: 50.134935509578746, Long: 19.43143041606727, MAE: 0.0, Group: 1, Time: 1720022735546
Point 10: Lat: 50.134908784846125, Long: 19.4313351669853, MAE: 0.0, Group: 1, Time: 1720022737306
Point 11: Lat: 50.13489573856653, Long: 19.431279101263687, MAE: 0.0, Group: 1, Time: 1720022738406
Point 12: Lat: 50.13487559987861, Long: 19.431184978804325, MAE: 0.0, Group: 2, Time: 1720022740125
Point 13: Lat: 50.13485946453504, Long: 19.431103143444602, MAE: 0.0, Group: 2, Time: 1720022741589
Point 14: Lat: 50.13484098139393, Long: 19.431031660049705, MAE: 0.0, Group: 2, Time: 1720022743036
Point 15: Lat: 50.134818313234334, Long: 19.4309534284045, MAE: 0.0, Group: 2, Time: 1720022744508
Point 16: Lat: 50.1348008275244, Long: 19.430865951369245, MAE: 0.0, Group: 2, Time: 1720022746187
Point 17: Lat: 50.13478082870783, Long: 19.430775695353287, MAE: 0.0, Group: 2, Time: 1720022747808
Point 18: Lat: 50.134765067180155, Long: 19.43070624604486, MAE: 0.0, Group: 3, Time: 1720022749036
