Point 0: Lat: 50.13506239239418, Long: 19.431959484087542, MAE: 3.018764817248609E-4, Group: 0, Time: 1720022720052
Point 1: Lat: 50.13506236665321, Long: 19.431959374405466, MAE: 3.0174105867430967E-4, Group: 0, Time: 1720022723035
Point 2: Lat: 50.13506234250345, Long: 19.431959271188113, MAE: 3.016136915654499E-4, Group: 0, Time: 1720022725031
Point 3: Lat: 50.13506232849532, Long: 19.43195921041831, MAE: 3.0153891363227103E-4, Group: 0, Time: 1720022726268
Point 4: Lat: 50.13506229965261, Long: 19.431959083682987, MAE: 3.0138333559648345E-4, Group: 0, Time: 1720022728249
Point 5: Lat: 50.13506227603638, Long: 19.431958980139438, MAE: 3.0125617581688857E-4, Group: 0, Time: 1720022729408
Point 6: Lat: 50.13494155269758, Long: 19.431461341931985, MAE: 69.56640289462956, Group: 1, Time: 1720022731037
Point 7: Lat: 50.13494153126595, Long: 19.431461256993042, MAE: 69.566402788259, Group: 1, Time: 1720022732126
Point 8: Lat: 50.134941505106134, Long: 19.431461153338084, MAE: 69.56640265844422, Group: 1, Time: 1720022734268
Point 9: Lat: 50.134941493597964, Long: 19.431461107592703, MAE: 69.56640260119067, Group: 1, Time: 1720022735546
Point 10: Lat: 50.13494146650043, Long: 19.43146099940485, MAE: 69.56640246590528, Group: 1, Time: 1720022737306
Point 11: Lat: 50.134941448082046, Long: 19.431460925917882, MAE: 69.56640237399992, Group: 1, Time: 1720022738406
Point 12: Lat: 50.134827444448604, Long: 19.430977555936767, MAE: 69.56580500038537, Group: 2, Time: 1720022740125
Point 13: Lat: 50.13482742438374, Long: 19.430977470960435, MAE: 69.56580489534417, Group: 2, Time: 1720022741589
Point 14: Lat: 50.134827408397754, Long: 19.4309774029224, MAE: 69.56580481132016, Group: 2, Time: 1720022743036
Point 15: Lat: 50.13482739291027, Long: 19.43097733713825, MAE: 69.56580473004851, Group: 2, Time: 1720022744508
Point 16: Lat: 50.13482737925319, Long: 19.430977279883273, MAE: 69.56580465913646, Group: 2, Time: 1720022746187
