Point 0: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501408685
Point 1: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501409678
Point 2: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501410691
Point 3: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501411694
Point 4: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501412675
Point 5: Lat: 50.13512402239655, Long: 19.432210281819764, MAE: 6.143042163166967E-4, Group: 0, Time: 1719501413697
Point 6: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501414684
Point 7: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501415689
Point 8: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501416693
Point 9: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501417696
Point 10: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501418691
Point 11: Lat: 50.13505612207609, Long: 19.4319534987764, MAE: 69.56700962085249, Group: 1, Time: 1719501419684
Point 12: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501420685
Point 13: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501421696
Point 14: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501422691
Point 15: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501423690
Point 16: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501424698
Point 17: Lat: 50.13498391261339, Long: 19.431607999164434, MAE: 69.56659191177783, Group: 2, Time: 1719501425691
Point 18: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501426706
Point 19: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501427683
Point 20: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501428694
Point 21: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501429695
Point 22: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501430694
Point 23: Lat: 50.13489120684196, Long: 19.43125636792765, MAE: 69.5661475747696, Group: 3, Time: 1719501431693
Point 24: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501432691
Point 25: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501433697
Point 26: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501434695
Point 27: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501435698
Point 28: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501436697
Point 29: Lat: 50.1348140694577, Long: 19.430932950680337, MAE: 69.56574702013803, Group: 4, Time: 1719501437695
Point 30: Lat: 50.134735802882346, Long: 19.430604801349983, MAE: 69.56534060423233, Group: 5, Time: 1719501438686
Point 31: Lat: 50.134735802882346, Long: 19.430604801349983, MAE: 69.56534060423233, Group: 5, Time: 1719501439698
