Point 0: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022720052
Point 1: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022723035
Point 2: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022725031
Point 3: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022726268
Point 4: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022728249
Point 5: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022729408
Point 6: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022731037
Point 7: Lat: 50.135042549999994, Long: 19.431876350000003, MAE: 1.9889999999733732E-4, Group: 0, Time: 1720022732126
Point 8: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022734268
Point 9: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022735546
Point 10: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022737306
Point 11: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022738406
Point 12: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022740125
Point 13: Lat: 50.134902333333336, Long: 19.43129695, MAE: 69.56619928333333, Group: 1, Time: 1720022741589
Point 14: Lat: 50.13479040000001, Long: 19.43082263333333, MAE: 69.56561303333334, Group: 2, Time: 1720022743036
Point 15: Lat: 50.13479040000001, Long: 19.43082263333333, MAE: 69.56561303333334, Group: 2, Time: 1720022744508
Point 16: Lat: 50.13479040000001, Long: 19.43082263333333, MAE: 69.56561303333334, Group: 2, Time: 1720022746187
