Point 0: Lat: 50.5718312, Long: 22.0625219, MAE: 0.0, Group: 2, Time: 1720205517006
Point 1: Lat: 50.57188383417253, Long: 22.062630348560248, MAE: 0.0, Group: 0, Time: 1720205518787
Point 2: Lat: 50.57190166495653, Long: 22.062663027785117, MAE: 0.0, Group: 0, Time: 1720205519761
Point 3: Lat: 50.571911968000435, Long: 22.062675688952837, MAE: 0.0, Group: 0, Time: 1720205520775
Point 4: Lat: 50.571918859133675, Long: 22.062681694427674, MAE: 0.0, Group: 0, Time: 1720205521772
Point 5: Lat: 50.571923187933024, Long: 22.062675899203928, MAE: 0.0, Group: 0, Time: 1720205522789
Point 6: Lat: 50.57192310526286, Long: 22.062666571385734, MAE: 0.0, Group: 0, Time: 1720205523809
Point 7: Lat: 50.571919511290055, Long: 22.062657313657198, MAE: 0.0, Group: 1, Time: 1720205524802
Point 8: Lat: 50.57191589131936, Long: 22.062651709438967, MAE: 0.0, Group: 1, Time: 1720205526008
Point 9: Lat: 50.57191278739777, Long: 22.062644094859554, MAE: 0.0, Group: 1, Time: 1720205527051
Point 10: Lat: 50.57191038037236, Long: 22.062633175385617, MAE: 0.0, Group: 1, Time: 1720205528026
Point 11: Lat: 50.571906060549296, Long: 22.062608993605224, MAE: 0.0, Group: 1, Time: 1720205529016
Point 12: Lat: 50.57190346024764, Long: 22.062586721788815, MAE: 0.0, Group: 1, Time: 1720205530037
Point 13: Lat: 50.571900931147354, Long: 22.06256302530537, MAE: 0.0, Group: 2, Time: 1720205531026
Point 14: Lat: 50.57189789395409, Long: 22.062543696851314, MAE: 0.0, Group: 2, Time: 1720205532023
Point 15: Lat: 50.571896667331586, Long: 22.062526382850827, MAE: 0.0, Group: 2, Time: 1720205533014
Point 16: Lat: 50.57189644659374, Long: 22.062509773489744, MAE: 0.0, Group: 2, Time: 1720205534026
Point 17: Lat: 50.57189732454341, Long: 22.062495308757875, MAE: 0.0, Group: 2, Time: 1720205535022
Point 18: Lat: 50.571898488776554, Long: 22.06248092778723, MAE: 0.0, Group: 2, Time: 1720205536034
Point 19: Lat: 50.57189976415398, Long: 22.06246926953242, MAE: 0.0, Group: 3, Time: 1720205537028
Point 20: Lat: 50.57190024332023, Long: 22.062455523724797, MAE: 0.0, Group: 3, Time: 1720205538027
Point 21: Lat: 50.571897208888345, Long: 22.0624463465505, MAE: 0.0, Group: 3, Time: 1720205539021
Point 22: Lat: 50.57189627934306, Long: 22.062436857018604, MAE: 0.0, Group: 3, Time: 1720205540030
Point 23: Lat: 50.57189616328275, Long: 22.062428158710958, MAE: 0.0, Group: 3, Time: 1720205541034
Point 24: Lat: 50.571894910539555, Long: 22.062416113422152, MAE: 0.0, Group: 3, Time: 1720205542030
Point 25: Lat: 50.571894905325216, Long: 22.06240547356754, MAE: 0.0, Group: 4, Time: 1720205543079
Point 26: Lat: 50.57188851656117, Long: 22.062398200523567, MAE: 0.0, Group: 4, Time: 1720205544042
Point 27: Lat: 50.57188498533216, Long: 22.06238715547945, MAE: 0.0, Group: 4, Time: 1720205545022
Point 28: Lat: 50.571883446255725, Long: 22.06237236737498, MAE: 0.0, Group: 4, Time: 1720205546035
Point 29: Lat: 50.57188399019896, Long: 22.062363551261598, MAE: 0.0, Group: 4, Time: 1720205547028
Point 30: Lat: 50.571884680741135, Long: 22.06235716704256, MAE: 0.0, Group: 4, Time: 1720205548157
Point 31: Lat: 50.571884323110034, Long: 22.06234893183912, MAE: 0.0, Group: 5, Time: 1720205549029
Point 32: Lat: 50.57188383864675, Long: 22.06234022077455, MAE: 0.0, Group: 5, Time: 1720205550031
Point 33: Lat: 50.571882090390844, Long: 22.062329459359834, MAE: 0.0, Group: 5, Time: 1720205551038
Point 34: Lat: 50.57187963709905, Long: 22.062315397810863, MAE: 0.0, Group: 5, Time: 1720205552027
Point 35: Lat: 50.57187380439854, Long: 22.062287566994613, MAE: 0.0, Group: 5, Time: 1720205553280
Point 36: Lat: 50.571868640413, Long: 22.062262433411252, MAE: 0.0, Group: 5, Time: 1720205554033
Point 37: Lat: 50.57186350063139, Long: 22.062233727628964, MAE: 0.0, Group: 6, Time: 1720205555027
Point 38: Lat: 50.571861268658694, Long: 22.06221085115609, MAE: 0.0, Group: 6, Time: 1720205556056
Point 39: Lat: 50.571860214229126, Long: 22.062189484605586, MAE: 0.0, Group: 6, Time: 1720205557238
Point 40: Lat: 50.57185847973326, Long: 22.062168601228375, MAE: 0.0, Group: 6, Time: 1720205558277
Point 41: Lat: 50.57185615036087, Long: 22.06215070557207, MAE: 0.0, Group: 6, Time: 1720205559025
Point 42: Lat: 50.5718537581914, Long: 22.062131417409386, MAE: 0.0, Group: 6, Time: 1720205560031
Point 43: Lat: 50.57185178802867, Long: 22.062105012455554, MAE: 0.0, Group: 7, Time: 1720205561176
Point 44: Lat: 50.571849598387054, Long: 22.062079876684344, MAE: 0.0, Group: 7, Time: 1720205562026
Point 45: Lat: 50.57184653074724, Long: 22.062054615102337, MAE: 0.0, Group: 7, Time: 1720205563031
Point 46: Lat: 50.57184450591825, Long: 22.06203470409318, MAE: 0.0, Group: 7, Time: 1720205564018
Point 47: Lat: 50.57184244775588, Long: 22.062017087067595, MAE: 0.0, Group: 7, Time: 1720205565180
Point 48: Lat: 50.57184000084482, Long: 22.062002132729607, MAE: 0.0, Group: 7, Time: 1720205566258
Point 49: Lat: 50.57183751197051, Long: 22.06199057745148, MAE: 0.0, Group: 8, Time: 1720205567035
Point 50: Lat: 50.57183479023301, Long: 22.06198102307663, MAE: 0.0, Group: 8, Time: 1720205568039
Point 51: Lat: 50.57183241630516, Long: 22.061971584400347, MAE: 0.0, Group: 8, Time: 1720205569237
Point 52: Lat: 50.571827843914505, Long: 22.06196216424197, MAE: 0.0, Group: 8, Time: 1720205570037
