Point 0: Lat: 50.57188783130141, Long: 22.062509488723993, MAE: 72.6343973200254, Group: 2, Time: 1720205517006
Point 1: Lat: 50.57193103323891, Long: 22.062689866323694, MAE: 3.0679008995626056, Group: 0, Time: 1720205518787
Point 2: Lat: 50.57193103345111, Long: 22.06268986688282, MAE: 3.067900900333928, Group: 0, Time: 1720205519761
Point 3: Lat: 50.57193103333341, Long: 22.06268986663234, MAE: 3.0679008999657533, Group: 0, Time: 1720205520775
Point 4: Lat: 50.57193103335416, Long: 22.062689866683904, MAE: 3.0679009000380653, Group: 0, Time: 1720205521772
Point 5: Lat: 50.57193103334307, Long: 22.06268986665768, MAE: 3.067900900000751, Group: 0, Time: 1720205522789
Point 6: Lat: 50.57193103325389, Long: 22.0626898663733, MAE: 3.0679008996271904, Group: 0, Time: 1720205523809
Point 7: Lat: 50.57190591667117, Long: 22.06261225003746, MAE: 72.63451816670863, Group: 1, Time: 1720205524802
Point 8: Lat: 50.57190591666861, Long: 22.062612250016606, MAE: 72.63451816668521, Group: 1, Time: 1720205526008
Point 9: Lat: 50.571905916667944, Long: 22.06261225001101, MAE: 72.63451816667896, Group: 1, Time: 1720205527051
Point 10: Lat: 50.57190591666715, Long: 22.06261225000487, MAE: 72.63451816667202, Group: 1, Time: 1720205528026
Point 11: Lat: 50.571905916663965, Long: 22.062612249982223, MAE: 72.63451816664619, Group: 1, Time: 1720205529016
Point 12: Lat: 50.57190591666314, Long: 22.06261224997633, MAE: 72.63451816663947, Group: 1, Time: 1720205530037
Point 13: Lat: 50.57188785517275, Long: 22.062509483014477, MAE: 72.63439733818723, Group: 2, Time: 1720205531026
Point 14: Lat: 50.5718878533623, Long: 22.062509483412203, MAE: 72.6343973367745, Group: 2, Time: 1720205532023
Point 15: Lat: 50.571887853510205, Long: 22.06250948337971, MAE: 72.63439733688992, Group: 2, Time: 1720205533014
Point 16: Lat: 50.5718878537597, Long: 22.06250948332493, MAE: 72.63439733708464, Group: 2, Time: 1720205534026
Point 17: Lat: 50.571887854583494, Long: 22.06250948314405, MAE: 72.63439733772755, Group: 2, Time: 1720205535022
Point 18: Lat: 50.57188785528192, Long: 22.06250948299045, MAE: 72.63439733827238, Group: 2, Time: 1720205536034
Point 19: Lat: 50.571897116667586, Long: 22.06243613333951, MAE: 72.6343332500071, Group: 3, Time: 1720205537028
Point 20: Lat: 50.571897116667586, Long: 22.06243613333951, MAE: 72.6343332500071, Group: 3, Time: 1720205538027
Point 21: Lat: 50.571897116666015, Long: 22.062436133329733, MAE: 72.63433324999575, Group: 3, Time: 1720205539021
Point 22: Lat: 50.5718971166661, Long: 22.06243613333019, MAE: 72.63433324999629, Group: 3, Time: 1720205540030
Point 23: Lat: 50.57189711666621, Long: 22.062436133330827, MAE: 72.63433324999704, Group: 3, Time: 1720205541034
Point 24: Lat: 50.5718971166653, Long: 22.062436133325622, MAE: 72.63433324999092, Group: 3, Time: 1720205542030
Point 25: Lat: 50.571885616679374, Long: 22.062373816691014, MAE: 72.63425943337039, Group: 4, Time: 1720205543079
Point 26: Lat: 50.57188561665772, Long: 22.062373816642026, MAE: 72.63425943329975, Group: 4, Time: 1720205544042
Point 27: Lat: 50.57188561665262, Long: 22.062373816628373, MAE: 72.63425943328099, Group: 4, Time: 1720205545022
Point 28: Lat: 50.57188561665157, Long: 22.062373816625595, MAE: 72.63425943327717, Group: 4, Time: 1720205546035
Point 29: Lat: 50.571885616657944, Long: 22.06237381664272, MAE: 72.63425943330066, Group: 4, Time: 1720205547028
Point 30: Lat: 50.57188561665988, Long: 22.062373816647888, MAE: 72.63425943330776, Group: 4, Time: 1720205548157
Point 31: Lat: 50.57187636677146, Long: 22.062300050509524, MAE: 72.63417641728098, Group: 5, Time: 1720205549029
Point 32: Lat: 50.57187636676195, Long: 22.062300050463207, MAE: 72.63417641722515, Group: 5, Time: 1720205550031
Point 33: Lat: 50.57187636672356, Long: 22.062300050276317, MAE: 72.63417641699988, Group: 5, Time: 1720205551038
Point 34: Lat: 50.571876366693274, Long: 22.062300050128638, MAE: 72.63417641682192, Group: 5, Time: 1720205552027
Point 35: Lat: 50.571876366626526, Long: 22.062300049799042, MAE: 72.63417641642556, Group: 5, Time: 1720205553280
Point 36: Lat: 50.57187636655374, Long: 22.062300049439102, MAE: 72.63417641599284, Group: 5, Time: 1720205554033
Point 37: Lat: 50.571855950004824, Long: 22.062154433376886, MAE: 72.6340103833817, Group: 6, Time: 1720205555027
Point 38: Lat: 50.57185595000467, Long: 22.062154433375383, MAE: 72.63401038338006, Group: 6, Time: 1720205556056
Point 39: Lat: 50.57185595000467, Long: 22.062154433375383, MAE: 72.63401038338006, Group: 6, Time: 1720205557238
Point 40: Lat: 50.57185595000138, Long: 22.06215443334533, MAE: 72.6340103833467, Group: 6, Time: 1720205558277
Point 41: Lat: 50.571855949997996, Long: 22.06215443331213, MAE: 72.63401038331013, Group: 6, Time: 1720205559025
Point 42: Lat: 50.571855949994045, Long: 22.062154433272877, MAE: 72.63401038326693, Group: 6, Time: 1720205560031
Point 43: Lat: 50.5718426166783, Long: 22.06201888341193, MAE: 72.63386150009023, Group: 7, Time: 1720205561176
Point 44: Lat: 50.5718426166722, Long: 22.06201888337005, MAE: 72.63386150004226, Group: 7, Time: 1720205562026
Point 45: Lat: 50.57184261666596, Long: 22.062018883326818, MAE: 72.63386149999278, Group: 7, Time: 1720205563031
Point 46: Lat: 50.571842616664675, Long: 22.06201888331765, MAE: 72.63386149998232, Group: 7, Time: 1720205564018
Point 47: Lat: 50.571842616661655, Long: 22.062018883295707, MAE: 72.63386149995736, Group: 7, Time: 1720205565180
Point 48: Lat: 50.5718426166539, Long: 22.062018883238867, MAE: 72.63386149989277, Group: 7, Time: 1720205566258
Point 49: Lat: 50.5718251334099, Long: 22.061954866828405, MAE: 72.6337800002383, Group: 8, Time: 1720205567035
Point 50: Lat: 50.57182513338023, Long: 22.06195486676649, MAE: 72.63378000014671, Group: 8, Time: 1720205568039
Point 51: Lat: 50.57182513337019, Long: 22.061954866745456, MAE: 72.63378000011565, Group: 8, Time: 1720205569237
