Point 0: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205517006
Point 1: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205518787
Point 2: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205519761
Point 3: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205520775
Point 4: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205521772
Point 5: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205522789
Point 6: Lat: 50.57193103333333, Long: 22.06268986666667, MAE: 3.067900899999998, Group: 0, Time: 1720205523809
Point 7: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205524802
Point 8: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205526008
Point 9: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205527051
Point 10: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205528026
Point 11: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205529016
Point 12: Lat: 50.57190591666666, Long: 22.06261225, MAE: 72.63451816666665, Group: 1, Time: 1720205530037
Point 13: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205531026
Point 14: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205532023
Point 15: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205533014
Point 16: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205534026
Point 17: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205535022
Point 18: Lat: 50.57188784285715, Long: 22.062509485714287, MAE: 72.63439732857144, Group: 2, Time: 1720205536034
Point 19: Lat: 50.57189711666666, Long: 22.062436133333335, MAE: 72.63433325, Group: 3, Time: 1720205537028
Point 20: Lat: 50.57189711666666, Long: 22.062436133333335, MAE: 72.63433325, Group: 3, Time: 1720205538027
