Point 0: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744867416
Point 1: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744868597
Point 2: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744869433
Point 3: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744870411
Point 4: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744871412
Point 5: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744872419
Point 6: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744873586
Point 7: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744874448
Point 8: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744875424
Point 9: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744876418
Point 10: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744877404
Point 11: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744878543
Point 12: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744879414
Point 13: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744880417
Point 14: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744881414
Point 15: Lat: 50.12959506221999, Long: 19.43365366978285, MAE: 0.007118607562855317, Group: 0, Time: 1721744882418
Point 16: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744883611
Point 17: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744884409
Point 18: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744885415
Point 19: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744886402
Point 20: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744887418
Point 21: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744888405
Point 22: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744889413
Point 23: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744890404
Point 24: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744891421
Point 25: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744892414
Point 26: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744893632
Point 27: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744894408
Point 28: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744895418
Point 29: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744896414
Point 30: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744897407
Point 31: Lat: 50.129635096482936, Long: 19.433982308749993, MAE: 69.56361740523293, Group: 1, Time: 1721744898414
Point 32: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744899436
Point 33: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744900405
Point 34: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744901609
Point 35: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744902709
Point 36: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744903691
Point 37: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744904712
Point 38: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744905752
Point 39: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744906830
Point 40: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744907911
Point 41: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744908991
Point 42: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744910073
Point 43: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744910553
Point 44: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744911611
Point 45: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744912632
Point 46: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744913632
Point 47: Lat: 50.12965018719122, Long: 19.434294402809403, MAE: 69.56394459000062, Group: 2, Time: 1721744914712
Point 48: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744915850
Point 49: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744916871
Point 50: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744917871
Point 51: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744918929
Point 52: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744920030
Point 53: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744920671
Point 54: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744921851
Point 55: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744922419
Point 56: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744923416
Point 57: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744924415
Point 58: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744925406
Point 59: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744926973
Point 60: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744928009
Point 61: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744929052
Point 62: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744930110
Point 63: Lat: 50.12965664542426, Long: 19.43458569873191, MAE: 69.56424234415617, Group: 3, Time: 1721744931190
Point 64: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744932232
Point 65: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744932910
Point 66: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744933912
Point 67: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744934949
Point 68: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744935470
Point 69: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744937029
Point 70: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744938090
Point 71: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744938717
Point 72: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744939550
Point 73: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744940629
Point 74: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744941629
Point 75: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744942711
Point 76: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744943757
Point 77: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744944731
Point 78: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744945851
Point 79: Lat: 50.129638705734315, Long: 19.43491074377456, MAE: 69.56454944950887, Group: 4, Time: 1721744946850
Point 80: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744947930
Point 81: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744948969
Point 82: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744950051
Point 83: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744951128
Point 84: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744952088
Point 85: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744953148
Point 86: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744954190
Point 87: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744955248
Point 88: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744956311
Point 89: Lat: 50.12964266939062, Long: 19.4352629391475, MAE: 69.56490560853811, Group: 5, Time: 1721744956889
