Point 0: Lat: 50.1296344201666, Long: 19.433666788852193, MAE: 0.007092368685587047, Group: 0, Time: 1722252824555
Point 1: Lat: 50.12963442005884, Long: 19.433666789608086, MAE: 0.007092369549241084, Group: 0, Time: 1722252826576
Point 2: Lat: 50.1296344199467, Long: 19.433666790412747, MAE: 0.007092370466047271, Group: 0, Time: 1722252828616
Point 3: Lat: 50.129634419912584, Long: 19.433666790677325, MAE: 0.007092370764738121, Group: 0, Time: 1722252830571
Point 4: Lat: 50.12963441988478, Long: 19.433666790891845, MAE: 0.007092371007061615, Group: 0, Time: 1722252832561
Point 5: Lat: 50.129634419899254, Long: 19.4336667907803, MAE: 0.007092370881043308, Group: 0, Time: 1722252834562
Point 6: Lat: 50.129634419867244, Long: 19.433666791026337, MAE: 0.007092371159089339, Group: 0, Time: 1722252836574
Point 7: Lat: 50.12963441983158, Long: 19.433666791298155, MAE: 0.0070923714665696025, Group: 0, Time: 1722252838560
Point 8: Lat: 50.12963441990382, Long: 19.433666790745054, MAE: 0.007092370841228046, Group: 0, Time: 1722252841042
Point 9: Lat: 50.12963441995863, Long: 19.4336667903209, MAE: 0.007092370362268952, Group: 0, Time: 1722252842561
Point 10: Lat: 50.12964000000498, Long: 19.43406387987844, MAE: 69.56370387988342, Group: 1, Time: 1722252844557
Point 11: Lat: 50.12964000001641, Long: 19.4340638795999, MAE: 69.56370387961631, Group: 1, Time: 1722252846586
Point 12: Lat: 50.12964000001316, Long: 19.434063879678348, MAE: 69.5637038796915, Group: 1, Time: 1722252848573
Point 13: Lat: 50.129640000003434, Long: 19.43406387991679, MAE: 69.56370387992023, Group: 1, Time: 1722252851055
Point 14: Lat: 50.1296399999952, Long: 19.43406388012423, MAE: 69.56370388011943, Group: 1, Time: 1722252852556
Point 15: Lat: 50.12964000000458, Long: 19.43406387988842, MAE: 69.563703879893, Group: 1, Time: 1722252854562
Point 16: Lat: 50.12964000000766, Long: 19.43406387981196, MAE: 69.56370387981963, Group: 1, Time: 1722252856571
Point 17: Lat: 50.12963999999797, Long: 19.434063880054364, MAE: 69.56370388005233, Group: 1, Time: 1722252858579
Point 18: Lat: 50.12963999998958, Long: 19.43406388026393, MAE: 69.56370388025351, Group: 1, Time: 1722252860573
Point 19: Lat: 50.12963999998347, Long: 19.43406388041423, MAE: 69.5637038803977, Group: 1, Time: 1722252862569
Point 20: Lat: 50.12964289819473, Long: 19.434470089897783, MAE: 69.56411298809252, Group: 2, Time: 1722252864563
Point 21: Lat: 50.12964289776081, Long: 19.434470087457672, MAE: 69.56411298521849, Group: 2, Time: 1722252866568
Point 22: Lat: 50.12964289603357, Long: 19.434470077658496, MAE: 69.56411297369206, Group: 2, Time: 1722252869267
Point 23: Lat: 50.12964289665631, Long: 19.434470081192725, MAE: 69.56411297784904, Group: 2, Time: 1722252871386
Point 24: Lat: 50.12964289777782, Long: 19.434470087553787, MAE: 69.5641129853316, Group: 2, Time: 1722252872988
Point 25: Lat: 50.129642899563166, Long: 19.434470097369918, MAE: 69.56411299693309, Group: 2, Time: 1722252875312
Point 26: Lat: 50.129642900432195, Long: 19.434470101989852, MAE: 69.56411300242205, Group: 2, Time: 1722252877286
Point 27: Lat: 50.129642901452925, Long: 19.43447010745967, MAE: 69.5641130089126, Group: 2, Time: 1722252879045
Point 28: Lat: 50.129642902427484, Long: 19.434470112746002, MAE: 69.56411301517349, Group: 2, Time: 1722252880583
Point 29: Lat: 50.129642904515634, Long: 19.434470124174112, MAE: 69.56411302868975, Group: 2, Time: 1722252883124
Point 30: Lat: 50.12968439999749, Long: 19.43484444002069, MAE: 69.56452884001817, Group: 3, Time: 1722252885250
Point 31: Lat: 50.129684400016345, Long: 19.434844439687925, MAE: 69.56452883970427, Group: 3, Time: 1722252886865
Point 32: Lat: 50.129684400031216, Long: 19.43484443942454, MAE: 69.56452883945576, Group: 3, Time: 1722252888986
Point 33: Lat: 50.129684400027536, Long: 19.43484443948919, MAE: 69.56452883951673, Group: 3, Time: 1722252891263
Point 34: Lat: 50.12968440001467, Long: 19.43484443971814, MAE: 69.56452883973282, Group: 3, Time: 1722252893424
Point 35: Lat: 50.12968440000881, Long: 19.43484443982403, MAE: 69.56452883983285, Group: 3, Time: 1722252895330
Point 36: Lat: 50.129684399998624, Long: 19.43484444000238, MAE: 69.564528840001, Group: 3, Time: 1722252897284
Point 37: Lat: 50.12968439998772, Long: 19.434844440167772, MAE: 69.56452884015549, Group: 3, Time: 1722252898743
Point 38: Lat: 50.12968439997733, Long: 19.434844440318916, MAE: 69.56452884029625, Group: 3, Time: 1722252901024
