50.1296057, 19.4336179
50.12960, 19.43375, 
50.12959, 19.43396, 
50.12962, 19.43550, 
50.12966, 19.43600, 
50.12967, 19.43616, 
50.12967, 19.43628, 
50.12969, 19.43641, 
50.12970, 19.43647, 
50.12971, 19.43654, 
50.12970, 19.43659, 
50.12968, 19.43663, 
50.12968, 19.43663, 
50.12961, 19.43674, 
50.12953, 19.43693, 
50.12929, 19.43758, 
50.12911, 19.43837, 
50.12903, 19.43941, 
50.12898, 19.44111, 
50.12899, 19.44161, 
50.12892, 19.44190, 
50.12889, 19.44200, 
50.12889, 19.44200, 
50.12888, 19.44201, 
50.12888, 19.44201, 
50.12888, 19.44201, 
50.12883, 19.44203, 
50.12878, 19.44205, 
50.12869, 19.44205, 
50.12835, 19.44208, 
50.12814, 19.44212, 
50.12800, 19.44215, 
50.12776, 19.44238, 
50.12776, 19.44238, 
50.1277326, 19.4424132
