Point 0: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266824845
Point 1: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266832214
Point 2: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266833218
Point 3: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266834221
Point 4: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266835495
Point 5: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266837233
Point 6: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266838255
Point 7: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266839169
Point 8: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266840230
Point 9: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266841288
Point 10: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266842368
Point 11: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266843429
Point 12: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266844549
Point 13: Lat: 50.13439583007248, Long: 19.429201068355937, MAE: 0.0031231015715853516, Group: 0, Time: 1710266845649
Point 14: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266847016
Point 15: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266848009
Point 16: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266848992
Point 17: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266850017
Point 18: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266851008
Point 19: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266852148
Point 20: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266853228
Point 21: Lat: 50.13445795031816, Long: 19.429398428694242, MAE: 69.5638563790124, Group: 1, Time: 1710266854308
Point 22: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266856507
Point 23: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266856507
Point 24: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266857607
Point 25: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266859006
Point 26: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266859999
Point 27: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266861003
Point 28: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266862042
Point 29: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266863081
Point 30: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266864203
Point 31: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266865302
Point 32: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266866362
Point 33: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266867445
Point 34: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266868564
Point 35: Lat: 50.13450877487777, Long: 19.429623347035502, MAE: 69.56413212191327, Group: 2, Time: 1710266869621
Point 36: Lat: 50.13454505, Long: 19.4297975, MAE: 69.56434254999999, Group: 3, Time: 1710266871001
Point 37: Lat: 50.13454505, Long: 19.4297975, MAE: 69.56434254999999, Group: 3, Time: 1710266871999
Point 38: Lat: 50.134568098185035, Long: 19.429914515728285, MAE: 69.56448261391333, Group: 4, Time: 1710266873023
Point 39: Lat: 50.134568098185035, Long: 19.429914515728285, MAE: 69.56448261391333, Group: 4, Time: 1710266874025
